uf,ano,medicos_mil_hab,leitos_mil_hab,dengue_cem_mil_hab,casos_hemorragica,obitos_hemorragica,taxa_obito_hemorragica
SP,2007,2.28,2.17,221.6,87.0,15.0,0.17
PR,2007,1.6,2.63,259.3,14.0,4.0,0.29
SC,2007,1.67,2.58,2.5,1.0,0.0,0.0
RS,2007,2.08,2.86,3.8,2.0,0.0,0.0
MS,2007,1.45,2.68,2976.0,90.0,7.0,0.08
MT,2007,1.12,2.37,565.4,22.0,7.0,0.32
GO,2007,1.45,2.74,166.5,93.0,10.0,0.11
DF,2007,3.57,2.02,47.5,6.0,3.0,0.5
RO,2008,0.93,2.1,373.4,21.0,2.0,0.1
AC,2008,0.95,2.24,365.4,6.0,0.0,0.0
AM,2008,1.04,1.58,226.2,193.0,6.0,0.03
RR,2008,1.28,1.74,1193.8,67.0,2.0,0.03
PA,2008,0.79,1.87,211.0,145.0,14.0,0.1
AP,2008,0.93,1.47,201.7,7.0,0.0,0.0
TO,2008,1.21,2.1,791.0,41.0,2.0,0.05
MA,2008,0.62,2.09,88.5,36.0,4.0,0.11
PI,2008,0.85,2.48,75.1,9.0,1.0,0.11
CE,2008,0.98,1.96,574.5,484.0,25.0,0.05
RN,2008,1.25,2.21,918.4,300.0,15.0,0.05
PB,2008,1.2,2.5,208.8,66.0,5.0,0.08
PE,2008,1.36,2.41,213.5,115.0,12.0,0.1
AL,2008,1.14,1.91,418.0,94.0,4.0,0.04
SE,2008,1.28,1.68,1065.6,419.0,21.0,0.05
BA,2008,1.04,2.17,238.2,141.0,10.0,0.07
MG,2008,1.76,2.24,248.8,62.0,9.0,0.15
ES,2008,1.89,2.06,756.0,97.0,6.0,0.06
RJ,2008,3.4,2.6,1249.1,1859.0,106.0,0.06
SP,2008,2.42,2.04,17.9,17.0,2.0,0.12
PR,2008,1.66,2.55,17.7,1.0,1.0,1.0
SC,2008,1.77,2.51,1.5,0.0,0.0,0.0
RS,2008,2.18,2.79,1.2,2.0,0.0,0.0
MS,2008,1.53,2.59,32.8,1.0,0.0,0.0
MT,2008,1.15,2.3,227.8,12.0,0.0,0.0
GO,2008,1.52,2.63,609.4,256.0,12.0,0.05
DF,2008,3.62,1.95,45.9,4.0,0.0,0.0
RO,2009,1.11,2.03,1345.8,130.0,5.0,0.04
AC,2009,1.03,2.2,2800.9,15.0,3.0,0.2
AM,2009,1.12,1.57,51.7,69.0,2.0,0.03
RR,2009,1.45,1.64,756.4,57.0,2.0,0.04
PA,2009,0.83,1.83,102.9,108.0,6.0,0.06
AP,2009,0.99,1.42,268.3,4.0,0.0,0.0
TO,2009,1.35,2.04,343.9,9.0,0.0,0.0
MA,2009,0.64,2.01,36.0,15.0,1.0,0.07
PI,2009,0.92,2.45,123.7,12.0,1.0,0.08
CE,2009,1.05,1.91,76.9,24.0,8.0,0.33
RN,2009,1.32,2.14,80.6,25.0,1.0,0.04
PB,2009,1.27,2.44,24.7,9.0,1.0,0.11
PE,2009,1.41,2.38,35.2,6.0,0.0,0.0
AL,2009,1.18,1.83,126.4,25.0,0.0,0.0
SE,2009,1.36,1.6,72.9,9.0,0.0,0.0
BA,2009,1.1,2.18,683.4,603.0,35.0,0.06
MG,2009,1.84,2.18,283.1,131.0,8.0,0.06
ES,2009,2.03,1.97,767.4,276.0,22.0,0.08
RJ,2009,2.71,2.46,42.5,62.0,3.0,0.05
SP,2009,2.52,1.9,21.8,30.0,4.0,0.13
PR,2009,2.0,2.48,17.4,5.0,0.0,0.0
SC,2009,1.89,2.44,0.8,0.0,0.0,0.0
RS,2009,2.31,2.72,0.7,0.0,0.0,0.0
MS,2009,1.63,2.51,625.6,34.0,1.0,0.03
MT,2009,1.24,2.23,1839.2,790.0,51.0,0.06
GO,2009,1.64,2.52,646.4,182.0,19.0,0.1
DF,2009,3.8,1.87,34.8,1.0,1.0,1.0
RO,2010,0.93,1.97,1298.9,128.0,7.0,0.05
AC,2010,0.97,2.15,4793.3,12.0,4.0,0.33
AM,2010,1.03,1.56,216.0,156.0,5.0,0.03
RR,2010,1.29,1.55,1684.9,84.0,5.0,0.06
PA,2010,0.8,1.8,205.4,124.0,10.0,0.08
AP,2010,0.9,1.37,484.2,1.0,0.0,0.0
TO,2010,1.21,1.98,668.8,12.0,4.0,0.33
MA,2010,0.65,1.92,87.9,74.0,3.0,0.04
PI,2010,0.93,2.41,228.9,34.0,4.0,0.12
CE,2010,1.05,1.86,251.4,71.0,8.0,0.11
RN,2010,1.31,2.08,247.7,164.0,6.0,0.04
PB,2010,1.27,2.39,177.0,34.0,5.0,0.15
PE,2010,1.45,2.35,393.2,261.0,10.0,0.04
AL,2010,1.19,1.76,1517.6,197.0,3.0,0.02
SE,2010,1.3,1.53,38.8,22.0,0.0,0.0
BA,2010,1.12,2.18,324.1,291.0,18.0,0.06
MG,2010,1.87,2.11,1094.8,185.0,34.0,0.18
ES,2010,1.96,1.88,742.0,184.0,4.0,0.02
RJ,2010,3.4,2.31,186.5,434.0,23.0,0.05
SP,2010,2.49,1.76,503.0,469.0,65.0,0.14
PR,2010,1.76,2.4,365.5,70.0,7.0,0.1
SC,2010,1.79,2.37,3.0,0.0,0.0,0.0
RS,2010,2.24,2.65,34.1,33.0,0.0,0.0
MS,2010,1.56,2.42,2593.6,150.0,16.0,0.11
MT,2010,1.18,2.15,1167.8,260.0,29.0,0.11
GO,2010,1.57,2.41,1700.1,243.0,28.0,0.12
DF,2010,3.81,1.79,584.3,7.0,2.0,0.29
RO,2011,1.11,1.9,206.0,7.0,3.0,0.43
AC,2011,1.03,2.11,2571.7,6.0,0.0,0.0
AM,2011,1.1,1.55,1779.2,114.0,7.0,0.06
RR,2011,1.32,1.45,322.1,3.0,1.0,0.33
PA,2011,0.83,1.76,253.8,41.0,8.0,0.2
AP,2011,0.96,1.31,418.7,9.0,0.0,0.0
TO,2011,1.28,1.92,855.4,19.0,2.0,0.11
MA,2011,0.68,1.84,179.1,46.0,6.0,0.13
PI,2011,1.0,2.38,322.6,19.0,1.0,0.05
CE,2011,1.11,1.8,747.8,190.0,12.0,0.06
RN,2011,1.39,2.01,731.4,305.0,11.0,0.04
PB,2011,1.3,2.33,334.6,92.0,7.0,0.08
PE,2011,1.51,2.32,251.2,180.0,13.0,0.07
AL,2011,1.17,1.68,285.5,34.0,1.0,0.03
SE,2011,1.36,1.45,189.9,43.0,2.0,0.05
BA,2011,1.21,2.19,282.6,147.0,7.0,0.05
MG,2011,1.97,2.04,205.9,45.0,7.0,0.16
ES,2011,2.11,1.78,1147.6,192.0,5.0,0.03
RJ,2011,3.57,2.16,1036.8,922.0,52.0,0.06
SP,2011,2.58,1.62,278.4,179.0,20.0,0.11
PR,2011,1.82,2.32,339.3,94.0,6.0,0.06
SC,2011,1.89,2.3,2.8,1.0,0.0,0.0
RS,2011,2.31,2.58,3.4,1.0,0.0,0.0
MS,2011,1.63,2.33,347.5,19.0,0.0,0.0
MT,2011,1.23,2.08,202.5,10.0,2.0,0.2
GO,2011,1.65,2.3,565.6,80.0,17.0,0.21
DF,2011,4.02,1.71,129.4,4.0,1.0,0.25
RO,2012,1.01,1.84,207.0,9.0,2.0,0.22
AC,2012,1.05,2.06,315.4,0.0,0.0,0.0
AM,2012,1.1,1.54,143.9,17.0,0.0,0.0
RR,2012,1.41,1.36,399.1,1.0,0.0,0.0
PA,2012,0.83,1.72,207.7,30.0,3.0,0.1
AP,2012,0.98,1.26,224.6,6.0,0.0,0.0
TO,2012,1.29,1.86,819.4,18.0,1.0,0.06
MA,2012,0.68,1.75,79.3,11.0,1.0,0.09
PI,2012,0.99,2.34,387.7,16.0,4.0,0.25
CE,2012,1.1,1.75,637.1,68.0,11.0,0.16
RN,2012,1.37,1.94,891.5,95.0,5.0,0.05
PB,2012,1.33,2.27,229.9,34.0,2.0,0.06
PE,2012,1.51,2.29,356.1,30.0,9.0,0.3
AL,2012,1.23,1.61,888.4,50.0,2.0,0.04
SE,2012,1.37,1.37,215.9,18.0,0.0,0.0
BA,2012,1.17,2.19,342.0,88.0,11.0,0.12
MG,2012,1.97,1.98,148.4,23.0,7.0,0.3
ES,2012,2.05,1.69,334.3,69.0,9.0,0.13
RJ,2012,3.49,2.02,1116.2,161.0,16.0,0.1
SP,2012,2.59,1.49,69.6,40.0,4.0,0.1
PR,2012,1.85,2.25,42.6,1.0,0.0,0.0
SC,2012,1.91,2.22,1.5,0.0,0.0,0.0
RS,2012,2.33,2.51,1.6,0.0,0.0,0.0
MS,2012,1.65,2.25,367.3,30.0,2.0,0.07
MT,2012,1.26,2.0,1054.7,60.0,8.0,0.13
GO,2012,1.66,2.19,398.3,120.0,23.0,0.19
DF,2012,3.99,1.63,54.2,1.0,1.0,1.0
RO,2013,1.19,1.77,505.3,8.0,1.0,0.12
AC,2013,1.08,2.02,330.7,0.0,0.0,0.0
AM,2013,1.12,1.53,468.3,48.0,5.0,0.1
RR,2013,1.38,1.27,193.6,1.0,0.0,0.0
PA,2013,0.84,1.69,114.6,14.0,6.0,0.43
AP,2013,0.95,1.21,232.4,3.0,0.0,0.0
TO,2013,1.36,1.79,581.5,8.0,1.0,0.12
MA,2013,0.71,1.66,52.8,18.0,8.0,0.44
PI,2013,1.05,2.31,156.6,5.0,2.0,0.4
CE,2013,1.16,1.7,344.2,51.0,15.0,0.29
RN,2013,1.43,1.88,560.3,49.0,5.0,0.1
PB,2013,1.38,2.22,344.0,26.0,4.0,0.15
PE,2013,1.57,2.26,86.7,7.0,2.0,0.29
AL,2013,1.24,1.53,342.2,5.0,0.0,0.0
SE,2013,1.42,1.29,36.5,2.0,1.0,0.5
BA,2013,1.25,2.2,406.2,45.0,7.0,0.16
MG,2013,2.04,1.91,2021.3,91.0,22.0,0.24
ES,2013,2.17,1.6,1771.0,74.0,12.0,0.16
RJ,2013,3.62,1.87,1301.6,164.0,23.0,0.14
SP,2013,2.64,1.35,506.0,184.0,34.0,0.18
PR,2013,1.87,2.17,601.0,84.0,19.0,0.23
SC,2013,1.98,2.15,5.4,0.0,0.0,0.0
RS,2013,2.37,2.44,4.0,1.0,0.0,0.0
MS,2013,1.69,2.16,3051.8,166.0,12.0,0.07
MT,2013,1.26,1.93,1105.9,30.0,10.0,0.33
GO,2013,1.73,2.08,2165.9,206.0,42.0,0.2
DF,2013,4.09,1.56,428.4,7.0,4.0,0.57
AC,2014,1.13,1.97,3577.9,,,
AL,2014,1.28,1.46,397.0,,,
AM,2014,1.15,1.52,172.0,,,
AP,2014,1.01,1.16,291.6,,,
BA,2014,1.26,2.21,91.4,,,
CE,2014,1.26,1.65,257.3,,,
DF,2014,4.28,1.48,408.7,,,
ES,2014,2.24,1.51,485.9,,,
GO,2014,1.83,1.97,1439.9,,,
MA,2014,0.79,1.58,38.7,,,
MG,2014,2.15,1.84,280.6,,,
MS,2014,1.85,2.07,130.7,,,
MT,2014,1.42,1.86,222.1,,,
PA,2014,0.91,1.65,55.5,,,
PB,2014,1.51,2.16,142.6,,,
PE,2014,1.64,2.23,113.0,,,
PI,2014,1.17,2.27,239.7,,,
PR,2014,1.96,2.09,204.9,,,
RJ,2014,3.75,1.73,46.9,,,
RN,2014,1.5,1.81,337.3,,,
RO,2014,1.32,1.71,113.5,,,
RR,2014,1.49,1.17,226.0,,,
RS,2014,2.46,2.37,1.4,,,
SC,2014,2.07,2.08,2.0,,,
SE,2014,1.54,1.21,101.2,,,
SP,2014,2.7,1.21,515.2,,,
TO,2014,1.51,1.73,244.0,,,
